method,constraint_mode,outcome,rhs,strength,prescribed_mean,prescribed_sd,worst_case,low_quantile,given_mean,n_realizations
nominal,dlt_only,Any_DLT,0.6,1.0,0.9529126787191304,0.12472016428378782,0.6043956043956044,0.8926976249556894,0.8657041576983001,10.0
nominal,dlt_only,Blood,0.6,1.0,0.8875457875457876,0.26048309038959305,0.2087912087912088,0.6208791208791209,0.8763221412611966,10.0
nominal,dlt_only,Constitutional,0.6,1.0,0.9567899559415078,0.028244888676760588,0.9120879120879121,0.9146130465279402,0.8808517908425643,10.0
nominal,dlt_only,Infection,0.6,1.0,0.9243648824293984,0.21069589887173357,0.32967032967032966,0.8555476781283233,0.8786714398776094,10.0
nominal,dlt_only,Gastrointestinal,0.6,1.0,0.9989010989010989,0.0034750303957894156,0.989010989010989,0.9989010989010989,0.8721491870019203,10.0
nominal,dlt_only,Overall_Survival,0.6,1.0,11.836641840595297,0.4800818416790993,10.939095253099454,10.988849411907944,10.708289431709586,10.0
nominal,dlt_only,all_constraints,0.6,1.0,0.8476560790656956,0.2664436138123703,0.16483516483516483,0.5584190003544842,0.7192842019520141,10.0
nominal,all_constraints,Any_DLT,0.6,1.0,0.9656369052947789,0.08774874737235862,0.7204301075268817,0.9241706703271563,0.8762882653390054,10.0
nominal,all_constraints,Blood,0.6,1.0,0.89170255492769,0.23801301685097992,0.2903225806451613,0.6130748112560055,0.8779694322935978,10.0
nominal,all_constraints,Constitutional,0.6,1.0,0.9629201304685433,0.02403312569390721,0.9239130434782609,0.9349444958371879,0.8897662240533712,10.0
nominal,all_constraints,Infection,0.6,1.0,0.9333637507539361,0.1788064634788002,0.43010752688172044,0.866415008007321,0.8953282374798478,10.0
nominal,all_constraints,Gastrointestinal,0.6,1.0,0.9988095238095237,0.0037646162621052,0.9880952380952381,0.9988095238095238,0.8794909302372134,10.0
nominal,all_constraints,Overall_Survival,0.6,1.0,11.788184230177272,0.448189503780939,10.932065922424671,11.003273479301477,10.73627053744285,10.0
nominal,all_constraints,all_constraints,0.6,1.0,0.8491656997014152,0.24961630312404282,0.23655913978494625,0.5311027224891329,0.7301192968794017,10.0
robust_reg,dlt_only,Any_DLT,0.6,1.0,0.941084721729883,0.13302201815774242,0.6043956043956044,0.7862460120524636,0.8657041576983001,10.0
robust_reg,dlt_only,Blood,0.6,1.0,0.8628855015951791,0.2910855298929338,0.24175824175824176,0.3725629209500177,0.8763221412611966,10.0
robust_reg,dlt_only,Constitutional,0.6,1.0,0.9471403118400235,0.027629844803970342,0.9042553191489362,0.9113046527940145,0.8808517908425643,10.0
robust_reg,dlt_only,Infection,0.6,1.0,0.9050336760014179,0.21828403488070433,0.34065934065934067,0.672775611485289,0.8786714398776094,10.0
robust_reg,dlt_only,Gastrointestinal,0.6,1.0,0.9945054945054945,0.017375151978947147,0.945054945054945,0.9945054945054945,0.8721491870019203,10.0
